Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF/16V/X7R ","C_0402_1005Metric",60.000000,-94.500000,0.000000,bottom
"C2","100nF/16V/X7R ","C_0402_1005Metric",62.000000,-94.500000,180.000000,bottom
"C3","100nF/16V/X7R ","C_0402_1005Metric",60.000000,-99.500000,0.000000,bottom
"C4","100nF/16V/X7R ","C_0402_1005Metric",62.000000,-99.500000,180.000000,bottom
"C5","100nF/16V/X7R ","C_0402_1005Metric",60.000000,-104.500000,0.000000,bottom
"C6","100nF/16V/X7R ","C_0402_1005Metric",62.000000,-104.500000,180.000000,bottom
"C7","100nF/16V/X7R ","C_0402_1005Metric",60.000000,-109.500000,0.000000,bottom
"C8","100nF/16V/X7R ","C_0402_1005Metric",62.000000,-109.500000,180.000000,bottom
"C9","100nF/16V/X7R ","C_0402_1005Metric",67.000000,-94.500000,0.000000,bottom
"C10","100nF/16V/X7R ","C_0402_1005Metric",69.000000,-94.500000,180.000000,bottom
"C11","100nF/16V/X7R ","C_0402_1005Metric",67.000000,-99.500000,0.000000,bottom
"C12","100nF/16V/X7R ","C_0402_1005Metric",69.000000,-99.500000,180.000000,bottom
"C13","100nF/16V/X7R ","C_0402_1005Metric",67.000000,-104.500000,0.000000,bottom
"C14","100nF/16V/X7R ","C_0402_1005Metric",69.000000,-104.500000,180.000000,bottom
"C15","100nF/16V/X7R ","C_0402_1005Metric",67.000000,-109.500000,0.000000,bottom
"C16","100nF/16V/X7R ","C_0402_1005Metric",69.000000,-109.500000,180.000000,bottom
"C17","10uF/10V/X5R ","C_0603_1608Metric",122.000000,-98.500000,0.000000,bottom
"C18","10uF/10V/X5R ","C_0603_1608Metric",86.500000,-101.500000,0.000000,bottom
"C19","10uF/10V/X5R ","C_0603_1608Metric",91.500000,-98.500000,180.000000,bottom
"C20","10uF/10V/X5R ","C_0603_1608Metric",95.500000,-101.500000,0.000000,bottom
"C21","10uF/10V/X5R ","C_0603_1608Metric",100.500000,-98.500000,180.000000,bottom
"C22","10uF/10V/X5R ","C_0603_1608Metric",105.000000,-101.500000,0.000000,bottom
"C23","10uF/10V/X5R ","C_0603_1608Metric",111.000000,-98.500000,180.000000,bottom
"C24","10uF/10V/X5R ","C_0603_1608Metric",117.500000,-101.500000,0.000000,bottom
"C25","10uF/10V/X5R ","C_0603_1608Metric",55.000000,-109.000000,180.000000,bottom
"C26","10uF/10V/X5R ","C_0603_1608Metric",129.000000,-108.500000,0.000000,bottom
"J3","Conn_01x03","CONN_ZH_3P_HORIZ_C722679",90.500000,-104.133300,180.000000,bottom
"J4","Conn_01x03","CONN_ZH_3P_HORIZ_C722679",87.500000,-95.866700,0.000000,bottom
"J5","Conn_01x03","CONN_ZH_3P_HORIZ_C722679",99.500000,-104.133300,180.000000,bottom
"J6","Conn_01x03","CONN_ZH_3P_HORIZ_C722679",96.500000,-95.866700,0.000000,bottom
"J7","Conn_01x04","CONN_ZH_4P_HORIZ_C5248024",110.250000,-104.133300,180.000000,bottom
"J8","Conn_01x04","CONN_ZH_4P_HORIZ_C5248024",105.750000,-95.866700,0.000000,bottom
