Designator,Mid X,Mid Y,Layer,Rotation
"C1",60.000000,-94.500000,bottom,0.000000
"C2",62.000000,-94.500000,bottom,180.000000
"C3",60.000000,-99.500000,bottom,0.000000
"C4",62.000000,-99.500000,bottom,180.000000
"C5",60.000000,-104.500000,bottom,0.000000
"C6",62.000000,-104.500000,bottom,180.000000
"C7",60.000000,-109.500000,bottom,0.000000
"C8",62.000000,-109.500000,bottom,180.000000
"C9",67.000000,-94.500000,bottom,0.000000
"C10",69.000000,-94.500000,bottom,180.000000
"C11",67.000000,-99.500000,bottom,0.000000
"C12",69.000000,-99.500000,bottom,180.000000
"C13",67.000000,-104.500000,bottom,0.000000
"C14",69.000000,-104.500000,bottom,180.000000
"C15",67.000000,-109.500000,bottom,0.000000
"C16",69.000000,-109.500000,bottom,180.000000
"C17",122.000000,-98.500000,bottom,0.000000
"C18",86.500000,-101.500000,bottom,0.000000
"C19",91.500000,-98.500000,bottom,180.000000
"C20",95.500000,-101.500000,bottom,0.000000
"C21",100.500000,-98.500000,bottom,180.000000
"C22",105.000000,-101.500000,bottom,0.000000
"C23",111.000000,-98.500000,bottom,180.000000
"C24",117.500000,-101.500000,bottom,0.000000
"C25",55.000000,-109.000000,bottom,180.000000
"C26",129.000000,-108.500000,bottom,0.000000
"J3",90.500000,-104.133300,bottom,180.000000
"J4",87.500000,-95.866700,bottom,0.000000
"J5",99.500000,-104.133300,bottom,180.000000
"J6",96.500000,-95.866700,bottom,0.000000
"J7",110.250000,-104.133300,bottom,180.000000
"J8",105.750000,-95.866700,bottom,0.000000
"J9",118.500000,-93.000000,bottom,0.000000
"J10",118.250000,-104.133300,bottom,180.000000
"R1",58.000000,-91.500000,bottom,-90.000000
"R2",64.000000,-91.500000,bottom,-90.000000
"R3",64.000000,-93.500000,bottom,-90.000000
"R4",64.000000,-96.500000,bottom,-90.000000
"R5",58.000000,-96.500000,bottom,-90.000000
"R6",64.000000,-98.500000,bottom,-90.000000
"R7",64.000000,-101.500000,bottom,-90.000000
"R8",58.000000,-101.500000,bottom,-90.000000
"R9",64.000000,-103.500000,bottom,-90.000000
"R10",64.000000,-106.500000,bottom,-90.000000
"R11",58.000000,-106.500000,bottom,-90.000000
"R12",64.000000,-108.500000,bottom,-90.000000
"R13",71.000000,-91.500000,bottom,-90.000000
"R14",65.000000,-91.500000,bottom,-90.000000
"R15",71.000000,-93.500000,bottom,-90.000000
"R16",71.000000,-96.500000,bottom,-90.000000
"R17",65.000000,-96.500000,bottom,-90.000000
"R18",71.000000,-98.500000,bottom,-90.000000
"R19",71.000000,-101.500000,bottom,-90.000000
"R20",65.000000,-101.500000,bottom,-90.000000
"R21",71.000000,-103.500000,bottom,-90.000000
"R22",71.000000,-106.500000,bottom,-90.000000
"R23",65.000000,-106.500000,bottom,-90.000000
"R24",71.000000,-108.500000,bottom,-90.000000
"R25",125.500000,-90.010000,bottom,0.000000
"R26",127.500000,-90.000000,bottom,0.000000
"U1",61.000000,-92.000000,bottom,0.000000
"U2",61.000000,-97.000000,bottom,0.000000
"U3",61.000000,-102.000000,bottom,0.000000
"U4",61.000000,-107.000000,bottom,0.000000
"U5",68.000000,-92.000000,bottom,0.000000
"U6",68.000000,-97.000000,bottom,0.000000
"U7",68.000000,-102.000000,bottom,0.000000
"U8",68.053690,-107.000000,bottom,0.000000
